Country,Year,Month,State/Ut Name,Type Of Supply,"E-Way Suppliers (UOM:Number), Scaling Factor:1","E-Way Bills (UOM:Number), Scaling Factor:1","Assessable Value (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDAMAN AND NICOBAR,INCOMING FROM OTHER STATES,1141,11020,387.50019999999995
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDAMAN AND NICOBAR,OUTGOING TO OTHER STATES,118,546,100.3331
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDAMAN AND NICOBAR,WITHIN-STATE,104,2686,47.3962
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDHRA PRADESH,INCOMING FROM OTHER STATES,77195,1169970,43477.7937
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDHRA PRADESH,OUTGOING TO OTHER STATES,23882,592254,45238.812999999995
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ANDHRA PRADESH,WITHIN-STATE,39125,2533616,38497.5694
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ARUNACHAL PRADESH,INCOMING FROM OTHER STATES,4592,47115,1027.1213
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ARUNACHAL PRADESH,OUTGOING TO OTHER STATES,365,4831,364.5793
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ARUNACHAL PRADESH,WITHIN-STATE,421,9132,174.92790000000002
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ASSAM,INCOMING FROM OTHER STATES,29129,444853,13470.975
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ASSAM,OUTGOING TO OTHER STATES,12396,268316,8744.2526
India,"Calendar Year (Jan - Dec), 2025","June, 2025",ASSAM,WITHIN-STATE,16489,690899,12615.2584
India,"Calendar Year (Jan - Dec), 2025","June, 2025",BIHAR,INCOMING FROM OTHER STATES,67081,949667,23205.0281
India,"Calendar Year (Jan - Dec), 2025","June, 2025",BIHAR,OUTGOING TO OTHER STATES,10898,214955,5080.9771
India,"Calendar Year (Jan - Dec), 2025","June, 2025",BIHAR,WITHIN-STATE,14865,1048858,17430.8164
