Country,Year,Gender,State Name,Type Of Area,Status Of Employment,"Percentage Distribution Of Workers (UOM:%(Percentage)), Scaling Factor:1"
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,All self employed,73.5
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,Casual labour,18.7
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,Regular wage/salary,7.8
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,Self-Employed helper in hoursehold enterprise,42.3
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,"Self-Employed own account worker, employer",31.2
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,All self employed,67.4
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,Casual labour,16.7
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,Regular wage/salary,15.9
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,Self-Employed helper in hoursehold enterprise,36.7
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,"Self-Employed own account worker, employer",30.7
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Rural + Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,All self employed,42.3
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,Casual labour,8.3
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,Regular wage/salary,49.4
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,Self-Employed helper in hoursehold enterprise,13.8
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,"Self-Employed own account worker, employer",28.5
India,"Agriculture Year (Jul - Jun), 2023",Female,All India,Urban,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,All self employed,64.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,Casual labour,4.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,Regular wage/salary,31.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,Self-Employed helper in hoursehold enterprise,54.1
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,"Self-Employed own account worker, employer",9.9
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural,all,100.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,All self employed,49.8
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,Casual labour,3.0
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,Regular wage/salary,47.2
India,"Agriculture Year (Jul - Jun), 2023",Female,Andaman and Nicobar Islands,Rural + Urban,Self-Employed helper in hoursehold enterprise,39.1
